============================================================
   PITCH RESOURCE GANTT LOG — Thread activity over time
============================================================
Time (us)     Role          Player                    Event
------------------------------------------------------------
860           BOWLER        Haris Rauf                BOWL_START
866           BOWLER        Haris Rauf                BOWL_END
868           STRIKER       Rohit Sharma              BAT_START
875           STRIKER       Rohit Sharma              BAT_END
876           STRIKER       Rohit Sharma              RUN_START
876           FIELDER       Iftikhar Ahmed            CATCH
876           NON_STRIKER   Shubman Gill              RUN_START
2815          STRIKER       Rohit Sharma              RUN_END
3527          NON_STRIKER   Shubman Gill              RUN_END
3742          BOWLER        Haris Rauf                BOWL_START
3744          BOWLER        Haris Rauf                BOWL_END
3747          STRIKER       Shubman Gill              BAT_START
3751          STRIKER       Shubman Gill              BAT_END
3751          STRIKER       Shubman Gill              RUN_START
3753          FIELDER       Fakhar Zaman              CATCH
3759          NON_STRIKER   Rohit Sharma              RUN_START
6090          NON_STRIKER   Rohit Sharma              RUN_END
6204          STRIKER       Shubman Gill              RUN_END
6425          BOWLER        Haris Rauf                BOWL_START
6429          BOWLER        Haris Rauf                BOWL_END
6433          STRIKER       Shubman Gill              BAT_START
6440          STRIKER       Shubman Gill              BAT_END
6440          NON_STRIKER   Rohit Sharma              RUN_START
6441          STRIKER       Shubman Gill              RUN_START
6440          FIELDER       Mohammad Rizwan           CATCH
7799          NON_STRIKER   Rohit Sharma              RUN_END
9078          STRIKER       Shubman Gill              RUN_END
9260          BOWLER        Haris Rauf                BOWL_START
9264          BOWLER        Haris Rauf                BOWL_END
9268          STRIKER       Shubman Gill              BAT_START
9271          STRIKER       Shubman Gill              BAT_END
9272          STRIKER       Shubman Gill              RUN_START
9272          FIELDER       Mohammad Rizwan           CATCH
9276          NON_STRIKER   Rohit Sharma              RUN_START
11207         STRIKER       Shubman Gill              RUN_END
11565         NON_STRIKER   Rohit Sharma              RUN_END
11772         BOWLER        Haris Rauf                BOWL_START
11776         BOWLER        Haris Rauf                BOWL_END
11780         STRIKER       Virat Kohli               BAT_START
11786         STRIKER       Virat Kohli               BAT_END
11786         STRIKER       Virat Kohli               RUN_START
11787         FIELDER       Fakhar Zaman              CATCH
11791         NON_STRIKER   Rohit Sharma              RUN_START
14127         STRIKER       Virat Kohli               RUN_END
14463         NON_STRIKER   Rohit Sharma              RUN_END
14737         BOWLER        Haris Rauf                BOWL_START
14741         BOWLER        Haris Rauf                BOWL_END
14745         STRIKER       Virat Kohli               BAT_START
14753         STRIKER       Virat Kohli               BAT_END
14754         STRIKER       Virat Kohli               RUN_START
14757         FIELDER       Babar Azam                CATCH
14768         NON_STRIKER   Rohit Sharma              RUN_START
17291         STRIKER       Virat Kohli               RUN_END
17523         NON_STRIKER   Rohit Sharma              RUN_END
17843         BOWLER        Imad Wasim                BOWL_START
17846         BOWLER        Imad Wasim                BOWL_END
17865         STRIKER       Rohit Sharma              BAT_START
17874         STRIKER       Rohit Sharma              BAT_END
17875         NON_STRIKER   Virat Kohli               RUN_START
17878         FIELDER       Shadab Khan               CATCH
17875         STRIKER       Rohit Sharma              RUN_START
19305         NON_STRIKER   Virat Kohli               RUN_END
20059         STRIKER       Rohit Sharma              RUN_END
20197         BOWLER        Imad Wasim                BOWL_START
20199         BOWLER        Imad Wasim                BOWL_END
20203         STRIKER       Virat Kohli               BAT_START
20208         STRIKER       Virat Kohli               BAT_END
20208         STRIKER       Virat Kohli               RUN_START
20209         FIELDER       Azam Khan                 CATCH
20228         NON_STRIKER   Rohit Sharma              RUN_START
22855         STRIKER       Virat Kohli               RUN_END
22863         NON_STRIKER   Rohit Sharma              RUN_END
23040         BOWLER        Imad Wasim                BOWL_START
23044         BOWLER        Imad Wasim                BOWL_END
23048         STRIKER       Virat Kohli               BAT_START
23054         STRIKER       Virat Kohli               BAT_END
23055         STRIKER       Virat Kohli               RUN_START
23056         NON_STRIKER   Rohit Sharma              RUN_START
23056         FIELDER       Fakhar Zaman              CATCH
25726         STRIKER       Virat Kohli               RUN_END
25950         NON_STRIKER   Rohit Sharma              RUN_END
26133         BOWLER        Imad Wasim                BOWL_START
26134         BOWLER        Imad Wasim                BOWL_END
26145         STRIKER       Rohit Sharma              BAT_START
26154         STRIKER       Rohit Sharma              BAT_END
26155         STRIKER       Rohit Sharma              RUN_START
26185         FIELDER       Mohammad Wasim Jr.        CATCH
26214         NON_STRIKER   Virat Kohli               RUN_START
28408         NON_STRIKER   Virat Kohli               RUN_END
28510         STRIKER       Rohit Sharma              RUN_END
28690         BOWLER        Imad Wasim                BOWL_START
28693         BOWLER        Imad Wasim                BOWL_END
28705         STRIKER       Rohit Sharma              BAT_START
28712         STRIKER       Rohit Sharma              BAT_END
28713         STRIKER       Rohit Sharma              RUN_START
28714         FIELDER       Mohammad Wasim Jr.        CATCH
28715         NON_STRIKER   Virat Kohli               RUN_START
28777         DEADLOCK      Virat Kohli               RUNOUT
28790         STRIKER       Rohit Sharma              RUN_END
28799         NON_STRIKER   Virat Kohli               RUN_END
28922         BOWLER        Imad Wasim                BOWL_START
28925         BOWLER        Imad Wasim                BOWL_END
28925         STRIKER       Rohit Sharma              BAT_START
28934         STRIKER       Rohit Sharma              BAT_END
28934         FIELDER       Shaheen Afridi            CATCH
28934         STRIKER       Rohit Sharma              RUN_START
29002         NON_STRIKER   Suryakumar Yadav          RUN_START
30301         STRIKER       Rohit Sharma              RUN_END
30762         NON_STRIKER   Suryakumar Yadav          RUN_END
31108         BOWLER        Mohammad Wasim Jr.        BOWL_START
31113         BOWLER        Mohammad Wasim Jr.        BOWL_END
31115         STRIKER       Suryakumar Yadav          BAT_START
31123         STRIKER       Suryakumar Yadav          BAT_END
31124         FIELDER       Fakhar Zaman              CATCH
31124         NON_STRIKER   Rishabh Pant              RUN_START
31125         STRIKER       Suryakumar Yadav          RUN_START
32812         STRIKER       Suryakumar Yadav          RUN_END
32814         NON_STRIKER   Rishabh Pant              RUN_END
33005         BOWLER        Mohammad Wasim Jr.        BOWL_START
33010         BOWLER        Mohammad Wasim Jr.        BOWL_END
33011         STRIKER       Rishabh Pant              BAT_START
33017         STRIKER       Rishabh Pant              BAT_END
33018         FIELDER       Fakhar Zaman              CATCH
33018         STRIKER       Rishabh Pant              RUN_START
33025         NON_STRIKER   Suryakumar Yadav          RUN_START
34668         NON_STRIKER   Suryakumar Yadav          RUN_END
35858         STRIKER       Rishabh Pant              RUN_END
36077         BOWLER        Mohammad Wasim Jr.        BOWL_START
36083         BOWLER        Mohammad Wasim Jr.        BOWL_END
36088         STRIKER       Suryakumar Yadav          BAT_START
36099         STRIKER       Suryakumar Yadav          BAT_END
36101         STRIKER       Suryakumar Yadav          RUN_START
36103         NON_STRIKER   Rishabh Pant              RUN_START
36103         FIELDER       Fakhar Zaman              CATCH
38106         NON_STRIKER   Rishabh Pant              RUN_END
38136         STRIKER       Suryakumar Yadav          RUN_END
38307         BOWLER        Mohammad Wasim Jr.        BOWL_START
38311         BOWLER        Mohammad Wasim Jr.        BOWL_END
38314         STRIKER       Rishabh Pant              BAT_START
38324         STRIKER       Rishabh Pant              BAT_END
38325         STRIKER       Rishabh Pant              RUN_START
38327         NON_STRIKER   Suryakumar Yadav          RUN_START
38325         FIELDER       Fakhar Zaman              CATCH
39910         STRIKER       Rishabh Pant              RUN_END
40448         NON_STRIKER   Suryakumar Yadav          RUN_END
40554         BOWLER        Mohammad Wasim Jr.        BOWL_START
40555         BOWLER        Mohammad Wasim Jr.        BOWL_END
40563         STRIKER       Hardik Pandya             BAT_START
40575         STRIKER       Hardik Pandya             BAT_END
40576         STRIKER       Hardik Pandya             RUN_START
40580         FIELDER       Shaheen Afridi            CATCH
40632         NON_STRIKER   Suryakumar Yadav          RUN_START
41831         STRIKER       Hardik Pandya             RUN_END
42938         NON_STRIKER   Suryakumar Yadav          RUN_END
43168         BOWLER        Mohammad Wasim Jr.        BOWL_START
43179         BOWLER        Mohammad Wasim Jr.        BOWL_END
43187         STRIKER       Suryakumar Yadav          BAT_START
43200         STRIKER       Suryakumar Yadav          BAT_END
43200         NON_STRIKER   Hardik Pandya             RUN_START
43202         STRIKER       Suryakumar Yadav          RUN_START
43201         FIELDER       Naseem Shah               CATCH
46008         STRIKER       Suryakumar Yadav          RUN_END
46211         NON_STRIKER   Hardik Pandya             RUN_END
46338         BOWLER        Shaheen Afridi            BOWL_START
